scenario,description,seed,delivered_packages,pending_packages,average_delivery_time,average_waiting_time,total_cost,total_income,gross_profit,moto_distance,furgoneta_distance,moto_trips,furgoneta_trips
A1,Alta demanda con flota de motos,,180,11,0.9728775385670313,0.42280676839910886,2824787.260664755,8300000.0,5475212.7393352445,3793.8096555767693,0.0,180,0
A1,Alta demanda con flota de motos,,179,38,1.2132807150163885,0.6548749170011717,2879160.146896718,8220000.0,5340839.853103282,3907.8634936653316,0.0,179,0
A1,Alta demanda con flota de motos,,176,18,0.9176650386831408,0.36055673448677666,2819699.862160769,8080000.0,5260300.137839232,3783.138209466835,0.0,176,0
A1,Alta demanda con flota de motos,,173,21,1.4521538195538917,0.8848243165106009,2818116.2143492606,7740000.0,4921883.785650739,3779.8163127716234,0.0,173,0
A1,Alta demanda con flota de motos,,174,33,1.9755702111983624,1.4072730214017026,2860600.5221115323,8170000.0,5309399.477888468,3868.9323905562624,0.0,174,0
A1,Alta demanda con flota de motos,,182,24,1.404586950125786,0.8726202880596904,2855963.6766345995,7660000.0,4804036.323365401,3859.206035015536,0.0,182,0
A1,Alta demanda con flota de motos,,181,16,1.4078928739043026,0.8565661386029138,2910574.287755623,7280000.0,4369425.712244377,3973.7585303924147,0.0,181,0
A1,Alta demanda con flota de motos,,178,28,1.0849763677160478,0.5440774937934854,2822299.1005803775,8290000.0,5467700.8994196225,3788.5904327790045,0.0,178,0
A1,Alta demanda con flota de motos,,173,19,0.9671957374638498,0.3898674888697095,2845617.872444443,7790000.0,4944382.127555557,3837.504434130007,0.0,173,0
A1,Alta demanda con flota de motos,,176,40,1.5041393691206162,0.9372564004829034,2857611.4366364204,7930000.0,5072388.56336358,3862.662414940905,0.0,176,0
A1,Alta demanda con flota de motos,,173,42,1.3659805324434027,0.7967097074987795,2817934.202811947,7940000.0,5122065.797188053,3779.4345211132163,0.0,173,0
A1,Alta demanda con flota de motos,,174,38,1.7081034910126485,1.1431662284654758,2789292.6027551144,7820000.0,5030707.397244886,3719.355230829756,0.0,174,0
A1,Alta demanda con flota de motos,,179,31,1.3294826532141633,0.7675676400694117,2931627.24421961,8070000.0,5138372.7557803895,4017.9197043566924,0.0,179,0
A1,Alta demanda con flota de motos,,189,24,1.3667575537085659,0.8220751108094321,2974886.718398356,8370000.0,5395113.281601644,4108.661789349763,0.0,189,0
A1,Alta demanda con flota de motos,,180,27,1.3014375283385093,0.7475282670699346,2835277.275533248,8350000.0,5514722.724466752,3815.813756154647,0.0,180,0
A1,Alta demanda con flota de motos,,167,34,0.9673316533009946,0.4021542791247156,2766077.7869535917,7660000.0,4893922.213046408,3670.6592901473564,0.0,167,0
A1,Alta demanda con flota de motos,,180,22,0.8592881314712559,0.3351076034438509,2805284.467790407,8050000.0,5244715.532209593,3752.9001410206265,0.0,180,0
A1,Alta demanda con flota de motos,,171,17,1.027370820704788,0.45890378258313613,2825562.483321723,7830000.0,5004437.516678277,3795.4357807565702,0.0,171,0
A1,Alta demanda con flota de motos,,181,30,1.6844224528668414,1.120028439035177,2946421.7247958495,8230000.0,5283578.27520415,4048.9529528961975,0.0,181,0
A1,Alta demanda con flota de motos,,189,2,1.1345508333871268,0.6076157551852602,2906413.2646210967,9020000.0,6113586.735378903,3965.030270927889,0.0,189,0
A1,Alta demanda con flota de motos,,178,22,1.316954020157958,0.7631562630858566,2892865.9049132564,8090000.0,5197134.095086744,3936.6130122954582,0.0,178,0
A1,Alta demanda con flota de motos,,176,38,1.7104099986216605,1.157598615990689,2865820.312596008,7830000.0,4964179.687403992,3879.8815451814735,0.0,176,0
A1,Alta demanda con flota de motos,,185,26,1.441918254849297,0.9041967964589425,2860174.6892379215,8350000.0,5489825.3107620785,3868.0391535591953,0.0,185,0
A1,Alta demanda con flota de motos,,181,31,1.280314380511864,0.7579977768210863,2786701.313619679,8230000.0,5443298.686380321,3713.9196821220276,0.0,181,0
A1,Alta demanda con flota de motos,,163,15,0.8070730713277132,0.251235632372764,2681447.4479670958,7040000.0,4358552.552032905,3493.136711357481,0.0,163,0
